DurationSeconds,DelayMilliseconds,TotalEventsAmount,ProcessorName,MaxQueue,FailureChance,MeadQueueLength,MeanLoadTime,SuccessEvents,FailedEvents
10,00:00:00.0010000,100,transport-hub_dlq,2147483647,0.1,0.0,0.0,0,0
10,00:00:00.0010000,100,transport-hub_failed,2147483647,0.1,0.0,0.0,5,0
10,00:00:00.0010000,100,transport-hub_passed,2147483647,0.1,0.0,0.0,71,0
10,00:00:00.0010000,100,template-filling,2147483647,0.1,0.64,47.72,101,0
10,00:00:00.0010000,100,template-filling_dlq,2147483647,0.1,0.0,0.0,0,0
10,00:00:00.0010000,100,template-filling_failed,2147483647,0.1,0.0,0.0,9,0
10,00:00:00.0010000,100,template-filling_passed,2147483647,0.1,0.0,0.0,93,0
10,00:00:00.0010000,100,validation,2147483647,0.1,0.45652173913043476,44.84782608695652,93,0
10,00:00:00.0010000,100,validation_dlq,2147483647,0.1,0.0,0.0,0,0
10,00:00:00.0010000,100,validation_failed,2147483647,0.1,0.0,0.0,8,0
10,00:00:00.0010000,100,validation_passed,2147483647,0.1,0.0,0.0,86,0
10,00:00:00.0010000,100,prioritize,2147483647,0.1,0.3411764705882353,44.188235294117646,86,0
10,00:00:00.0010000,100,prioritize_dlq,2147483647,0.1,0.0,0.0,0,0
10,00:00:00.0010000,100,prioritize_failed,2147483647,0.1,0.0,0.0,12,0
10,00:00:00.0010000,100,prioritize_passed,2147483647,0.1,0.0,0.0,75,0
10,00:00:00.0010000,100,transport-hub,2147483647,0.1,0.3783783783783784,45.189189189189186,75,0
10,00:00:00.0010000,100,transport-hub_dlq,2147483647,0.1,0.0,0.0,0,0
10,00:00:00.0010000,100,transport-hub_failed,2147483647,0.1,0.0,0.0,8,0
10,00:00:00.0010000,100,transport-hub_passed,2147483647,0.1,0.0,0.0,68,0
10,00:00:00.0010000,100,template-filling,2147483647,0.1,1.13,43.68,101,0
10,00:00:00.0010000,100,template-filling_dlq,2147483647,0.1,0.0,0.0,0,0
10,00:00:00.0010000,100,template-filling_failed,2147483647,0.1,0.0,0.0,13,0
10,00:00:00.0010000,100,template-filling_passed,2147483647,0.1,0.0,0.0,89,0
10,00:00:00.0010000,100,validation,2147483647,0.1,0.625,44.82954545454545,89,0
10,00:00:00.0010000,100,validation_dlq,2147483647,0.1,0.0,0.0,0,0
10,00:00:00.0010000,100,validation_failed,2147483647,0.1,0.0,0.0,10,0
10,00:00:00.0010000,100,validation_passed,2147483647,0.1,0.0,0.0,80,0
10,00:00:00.0010000,100,prioritize,2147483647,0.1,0.4430379746835443,44.379746835443036,80,0
10,00:00:00.0010000,100,prioritize_dlq,2147483647,0.1,0.0,0.0,0,0
10,00:00:00.0010000,100,prioritize_failed,2147483647,0.1,0.0,0.0,5,0
10,00:00:00.0010000,100,prioritize_passed,2147483647,0.1,0.0,0.0,76,0
10,00:00:00.0010000,100,transport-hub,2147483647,0.1,0.3333333333333333,46.2,76,0
10,00:00:00.0010000,100,transport-hub_dlq,2147483647,0.1,0.0,0.0,0,0
10,00:00:00.0010000,100,transport-hub_failed,2147483647,0.1,0.0,0.0,11,0
10,00:00:00.0010000,100,transport-hub_passed,2147483647,0.1,0.0,0.0,66,0
10,00:00:00.0010000,100,template-filling,2147483647,0.1,0.82,43.49,101,0
10,00:00:00.0010000,100,template-filling_dlq,2147483647,0.1,0.0,0.0,0,0
10,00:00:00.0010000,100,template-filling_failed,2147483647,0.1,0.0,0.0,13,0
10,00:00:00.0010000,100,template-filling_passed,2147483647,0.1,0.0,0.0,89,0
10,00:00:00.0010000,100,validation,2147483647,0.1,0.45454545454545453,44.39772727272727,89,0
10,00:00:00.0010000,100,validation_dlq,2147483647,0.1,0.0,0.0,0,0
10,00:00:00.0010000,100,validation_failed,2147483647,0.1,0.0,0.0,9,0
10,00:00:00.0010000,100,validation_passed,2147483647,0.1,0.0,0.0,81,0
10,00:00:00.0010000,100,prioritize,2147483647,0.1,0.4625,46.7,81,0
10,00:00:00.0010000,100,prioritize_dlq,2147483647,0.1,0.0,0.0,0,0
10,00:00:00.0010000,100,prioritize_failed,2147483647,0.1,0.0,0.0,12,0
10,00:00:00.0010000,100,prioritize_passed,2147483647,0.1,0.0,0.0,70,0
10,00:00:00.0010000,100,transport-hub,2147483647,0.1,0.2463768115942029,44.42028985507246,70,0
10,00:00:00.0010000,100,transport-hub_dlq,2147483647,0.1,0.0,0.0,0,0
10,00:00:00.0010000,100,transport-hub_failed,2147483647,0.1,0.0,0.0,6,0
10,00:00:00.0010000,100,transport-hub_passed,2147483647,0.1,0.0,0.0,65,0
10,00:00:00.0010000,100,template-filling,2147483647,0.1,1.19,42.11,101,0
10,00:00:00.0010000,100,template-filling_dlq,2147483647,0.1,0.0,0.0,0,0
10,00:00:00.0010000,100,template-filling_failed,2147483647,0.1,0.0,0.0,10,0
10,00:00:00.0010000,100,template-filling_passed,2147483647,0.1,0.054945054945054944,0.0,92,0
10,00:00:00.0010000,100,validation,2147483647,0.1,1.10989010989011,43.824175824175825,92,0
10,00:00:00.0010000,100,validation_dlq,2147483647,0.1,0.0,0.0,0,0
10,00:00:00.0010000,100,validation_failed,2147483647,0.1,0.0,0.0,6,0
10,00:00:00.0010000,100,validation_passed,2147483647,0.1,0.06976744186046512,0.0,87,0
10,00:00:00.0010000,100,prioritize,2147483647,0.1,0.8372093023255814,45.45348837209303,87,0
10,00:00:00.0010000,100,prioritize_dlq,2147483647,0.1,0.0,0.0,0,0
10,00:00:00.0010000,100,prioritize_failed,2147483647,0.1,0.0,0.0,6,0
10,00:00:00.0010000,100,prioritize_passed,2147483647,0.1,0.012345679012345678,0.0,82,0
10,00:00:00.0010000,100,transport-hub,2147483647,0.1,0.5925925925925926,45.333333333333336,82,0
10,00:00:00.0010000,100,transport-hub_dlq,2147483647,0.1,0.0,0.0,0,0
10,00:00:00.0010000,100,transport-hub_failed,2147483647,0.1,0.0,0.0,13,0
10,00:00:00.0010000,100,transport-hub_passed,2147483647,0.1,0.028985507246376812,0.0,70,0
10,00:00:00.0010000,100,template-filling,2147483647,0.1,1.61,46.82,101,0
10,00:00:00.0010000,100,template-filling_dlq,2147483647,0.1,0.0,0.0,0,0
10,00:00:00.0010000,100,template-filling_failed,2147483647,0.1,0.0,0.0,12,0
10,00:00:00.0010000,100,template-filling_passed,2147483647,0.1,0.0,0.0,90,0
10,00:00:00.0010000,100,validation,2147483647,0.1,0.3707865168539326,43.41573033707865,90,0
10,00:00:00.0010000,100,validation_dlq,2147483647,0.1,0.0,0.0,0,0
10,00:00:00.0010000,100,validation_failed,2147483647,0.1,0.0,0.0,12,0
